Country/Province,active,confirmed,death,death_rate,recovered,recovery_rate,Rank,average_daily_cases,average_daily_deaths,incidence_death
Brazil,1548092.0,16471600.0,461057.0,2.799102697977124,14496224.0,88.00738240365234,1,33410.95334685598,935.2068965517242,43332
India,3745237.0,27894800.0,325972.0,1.1685762220915725,25454320.0,91.25112924272625,2,56581.7444219067,661.2008113590264,43765
Mexico,300329.0,2411503.0,223455.0,9.266212814166103,1924865.0,79.82013706804429,3,4891.486815415821,453.25557809330627,27829
United Kingdom,4352826.0,4480945.0,127775.0,2.851519043416065,344.0,0.007676952071493848,4,9089.137931034482,259.17849898580124,124121
Italy,805947.0,4213055.0,126002.0,2.9907513668822268,3845087.0,91.26600530968621,5,8545.750507099392,255.58215010141987,24103
Russia,558147.0,4995613.0,118781.0,2.3777061994193707,4616422.0,92.40952011294709,6,10133.089249492901,240.93509127789048,13271
France,5431304.0,5863138.0,108532.0,1.8510906616900369,331686.0,5.657141278271124,7,11892.774847870183,220.14604462474645,100538
Germany,380989.0,3684672.0,88413.0,2.3994808764525035,3479700.0,94.43717106977229,8,7473.979716024341,179.3367139959432,9141
Colombia,169326.0,3363061.0,87747.0,2.609140898722919,3141549.0,93.41338144030097,9,6821.624746450304,177.98580121703853,4417
Spain,3438377.0,3668658.0,79905.0,2.1780443966158742,150376.0,4.098937540648379,10,7441.496957403651,162.079107505071,74889
Iran,479932.0,2893218.0,79741.0,2.756135209998002,2425033.0,83.81784573440369,11,5868.596348884382,161.74645030425964,13227
Argentina,372886.0,3732263.0,77108.0,2.0659851677119216,3288467.0,88.10919809241739,12,7570.513184584179,156.4056795131846,7703
Poland,440035.0,2871371.0,73682.0,2.566091250486266,2636675.0,91.82634358290865,13,5824.281947261663,149.45638945233264,11291
Peru,168092.0,1947555.0,68978.0,3.541774173258265,1897522.0,97.43098397734596,14,3950.4158215010143,139.91480730223122,5953
US:California,,3788713.0,63236.0,1.6690628189572554,,,15,7685.0162271805275,128.26774847870183,0
South Africa,239799.0,1659070.0,56363.0,3.3972647326514256,1554184.0,93.67802443537644,16,3365.2535496957403,114.32657200811359,8146
US:New York,,2101055.0,53269.0,2.535345338413321,,,17,4261.774847870182,108.05070993914808,0
Ukraine,427565.0,2257904.0,52414.0,2.3213564438523515,2084477.0,92.31911542740524,18,4579.926977687627,106.31643002028397,9925
US:Texas,,2952861.0,51491.0,1.7437664691971617,,,19,5989.576064908722,104.44421906693712,0
Indonesia,176672.0,1809926.0,50262.0,2.777019612956552,1659974.0,91.71502039309894,20,3671.2494929006084,101.95131845841784,4906
Turkey,1306587.0,5235978.0,47271.0,0.9028112799557217,5094279.0,97.29374340381109,21,10620.645030425963,95.88438133874239,11796
US:Florida,,2320818.0,36774.0,1.5845275243470192,,,22,4707.541582150101,74.5922920892495,0
Romania,120307.0,1077426.0,30247.0,2.807338972699749,1038539.0,96.39074980555509,23,2185.448275862069,61.35294117647059,3377
Czechia,208415.0,1660935.0,30101.0,1.8122924738174582,1617498.0,97.38478628001698,24,3369.0365111561864,61.05679513184584,3777
Hungary,272974.0,804032.0,29709.0,3.6950021889676035,692248.0,86.0970707633527,25,1630.896551724138,60.26166328600406,10086
Chile,82961.0,1369597.0,29047.0,2.1208428464723563,1295499.0,94.58979539236725,26,2778.087221095335,58.918864097363084,1759
US:Pennsylvania,,1202912.0,27190.0,2.260348221648799,,,27,2439.9837728194725,55.15212981744422,0
US:New Jersey,,1015889.0,26201.0,2.579120356653138,,,28,2060.6267748478704,53.14604462474645,0
US:Illinois,,1380978.0,25166.0,1.8223317098462106,,,29,2801.1724137931033,51.046653144016226,0
Belgium,1003712.0,1059763.0,24921.0,2.351563509954584,31130.0,2.9374492221374027,30,2149.6206896551726,50.54969574036511,23602
US:Georgia,,1123343.0,20837.0,1.8549098538914648,,,31,2278.5862068965516,42.2657200811359,0
Pakistan,108642.0,918936.0,20736.0,2.2565227611063228,839322.0,91.33628457259265,32,1863.9675456389452,42.06085192697769,2451
Philippines,203710.0,1216582.0,20722.0,1.7032966129697795,1142246.0,93.88976657553704,33,2467.711967545639,42.03245436105477,3469
Ecuador,50202.0,424741.0,20485.0,4.822939155862043,366425.0,86.27022114653401,34,861.5436105476673,41.55172413793103,2421
US:Michigan,,991941.0,20376.0,2.0541544305558497,,,35,2012.050709939148,41.33062880324544,0
US:Ohio,,1101557.0,19861.0,1.8029933993429301,,,36,2234.395537525355,40.28600405679513,0
US:Massachusetts,,706783.0,17868.0,2.528074387754091,,,37,1433.6369168356998,36.24340770791075,0
Bulgaria,95442.0,418221.0,17657.0,4.221930510423914,380359.0,90.94689171514581,38,848.3184584178499,35.81541582150101,4029
US:Arizona,,880466.0,17628.0,2.0021216037870855,,,39,1785.9350912778905,35.75659229208925,0
Netherlands,1627084.0,1644699.0,17615.0,1.071016641950898,0.0,0.0,40,3336.103448275862,35.73022312373225,17426
Portugal,181811.0,848213.0,17023.0,2.006925147339171,808557.0,95.32475922910872,41,1720.5131845841786,34.529411764705884,3648
Iraq,112140.0,1193608.0,16334.0,1.3684559754961427,1107101.0,92.75247820054825,42,2421.1115618661256,33.13184584178499,1534
Egypt,55230.0,260659.0,15001.0,5.755028600585439,191475.0,73.45804288361423,43,528.7200811359027,30.427991886409735,3178
Sweden,1054022.0,1068473.0,14451.0,1.3524908912064226,0.0,0.0,44,2167.288032454361,29.31237322515213,14255
Bolivia,60954.0,366714.0,14435.0,3.9363100399766577,291325.0,79.44201748501557,45,743.841784989858,29.279918864097365,2399
US:Indiana,,743338.0,13615.0,1.831602850923806,,,46,1507.784989858012,27.616632860040568,0
US:North Carolina,,1001154.0,13078.0,1.306292538410674,,,47,2030.738336713996,26.527383367139958,0
Japan,83832.0,742539.0,12877.0,1.7341850057707406,666786.0,89.79811161433945,48,1506.1643002028397,26.11967545638945,1453
Tunisia,57819.0,343374.0,12574.0,3.6618963579071218,301273.0,87.739025086349,49,696.498985801217,25.505070993914806,2117
Bangladesh,115779.0,797386.0,12549.0,1.5737672846024384,737408.0,92.47817242840983,50,1617.4158215010143,25.454361054766736,1822
US:Tennessee,,862401.0,12441.0,1.442600368042245,,,51,1749.2920892494928,25.235294117647058,0
Slovakia,121807.0,389440.0,12333.0,3.166854971240756,255300.0,65.55566967953985,52,789.9391480730224,25.016227180527384,3857
Greece,294607.0,400395.0,12024.0,3.003034503427865,93764.0,23.41787484858702,53,812.1602434077079,24.3894523326572,8847
US:Virginia,,675165.0,11160.0,1.6529292839528114,,,54,1369.503042596349,22.636916835699797,0
US:Alabama,,543405.0,11146.0,2.051140493738556,,,55,1102.2413793103449,22.608519269776878,0
Canada:Quebec,,369728.0,11125.0,3.008968755409382,,,56,749.9553752535497,22.565922920892493,0
Switzerland,364622.0,693023.0,10805.0,1.5591113137659212,317600.0,45.82820483591454,57,1405.7261663286004,21.91683569979716,5684
Austria,77130.0,644207.0,10592.0,1.644192006606572,627672.0,97.43327843379535,58,1306.7079107505072,21.484787018255577,1268
US:Louisiana,,470685.0,10576.0,2.246937973379224,,,59,954.73630831643,21.452332657200813,0
US:South Carolina,,592912.0,9728.0,1.6407156542623524,,,60,1202.6612576064908,19.732251521298174,0
US:Maryland,,459528.0,9599.0,2.088882505527411,,,61,932.105476673428,19.470588235294116,0
US:Missouri,,606075.0,9496.0,1.5668027884337747,,,62,1229.3610547667342,19.261663286004058,0
Jordan,137385.0,734659.0,9436.0,1.2844054180238724,713902.0,97.1746075390079,63,1490.1805273833672,19.13995943204868,1764
Bosnia and Herzegovina,36198.0,203839.0,9211.0,4.518762356565722,174236.0,85.4772639190734,64,413.46653144016227,18.683569979716026,1635
Morocco,49800.0,518868.0,9138.0,1.7611415620157729,506740.0,97.66260397634852,65,1052.4705882352941,18.53549695740365,877
Paraguay,53394.0,350613.0,8987.0,2.5632249802488785,288232.0,82.20801852755032,66,711.1825557809331,18.22920892494929,1368
Canada:Ontario,,537138.0,8698.0,1.6193231534540473,,,67,1089.5294117647059,17.643002028397564,0
US:Connecticut,,347341.0,8238.0,2.3717326776856176,,,68,704.5456389452332,16.709939148073023,0
Guatemala,27377.0,253837.0,8121.0,3.199297186777341,232359.0,91.53866457608622,69,514.8823529411765,16.472616632860042,875
Croatia,25270.0,355955.0,8002.0,2.248036970965431,345396.0,97.03361379949713,70,722.0182555780933,16.231237322515213,568
US:Wisconsin,,674003.0,7830.0,1.1617158974069848,,,71,1367.1460446247465,15.882352941176471,0
Lebanon,119050.0,540132.0,7718.0,1.4289099701554435,517859.0,95.8763783667696,72,1095.6024340770791,15.655172413793103,1701
US:Minnesota,,601105.0,7511.0,1.2495321116942963,,,73,1219.2799188640975,15.235294117647058,0
Saudi Arabia,63026.0,448284.0,7334.0,1.6360164538551454,430937.0,96.13035486432709,74,909.2981744421907,14.876267748478702,1031
US:Mississippi,,317407.0,7310.0,2.3030367950297252,,,75,643.8275862068965,14.827586206896552,0
US:Oklahoma,,452777.0,7291.0,1.610284974722656,,,76,918.4117647058823,14.789046653144016,0
Nepal,117261.0,553422.0,7163.0,1.2943106706997554,434750.0,78.55668910885363,77,1122.5598377281947,14.529411764705882,1517
Serbia,689638.0,712046.0,6844.0,0.9611738567452103,15564.0,2.185813837870025,78,1444.3123732251522,13.882352941176471,6628
US:Kentucky,,458275.0,6782.0,1.4798974414925536,,,79,929.5638945233266,13.75659229208925,0
US:Colorado,,542405.0,6576.0,1.2123782044782034,,,80,1100.212981744422,13.338742393509127,0
Israel,85014.0,839453.0,6407.0,0.7632351066706534,832539.0,99.17636842086453,81,1702.7444219066938,12.995943204868155,648
Panama,56897.0,377428.0,6369.0,1.687474167258391,364783.0,96.64969212671026,82,765.5740365111562,12.918864097363084,960
Honduras,146267.0,236952.0,6296.0,2.6570782268138697,84389.0,35.614386035990414,83,480.63286004056795,12.77079107505071,3886
Moldova,22962.0,255105.0,6100.0,2.391172262401756,247349.0,96.9596832676741,84,517.4543610547668,12.373225152129818,549
US:Iowa,,371331.0,6055.0,1.6306206591962427,,,85,753.2068965517242,12.281947261663285,0
US:Arkansas,,341290.0,5830.0,1.7082246769609424,,,86,692.2718052738337,11.825557809330629,0
US:Washington,,435849.0,5765.0,1.3227057994856017,,,87,884.0750507099391,11.693711967545639,0
US:Nevada,,323748.0,5586.0,1.7254160643463432,,,88,656.6896551724138,11.330628803245435,0
North Macedonia,22538.0,155246.0,5398.0,3.4770622109426332,147473.0,94.99310771292015,89,314.9006085192698,10.949290060851927,783
US:Kansas,,315331.0,5077.0,1.610054197018371,,,90,639.6166328600406,10.29817444219067,0
Ireland,226565.0,254870.0,4941.0,1.938635382744144,23364.0,9.167026327147173,91,516.9776876267748,10.022312373225152,4392
Azerbaijan,62427.0,333723.0,4903.0,1.4691825256275415,323617.0,96.97174003589804,92,676.922920892495,9.94523326572008,917
Georgia,31021.0,342880.0,4739.0,1.3821161922538496,325016.0,94.79001399906673,93,695.4969574036511,9.612576064908723,428
China:Hubei,50633.0,68159.0,4512.0,6.6198154315644295,64435.0,94.53630481667865,94,138.25354969574036,9.15212981744422,3351
Armenia,40976.0,222555.0,4428.0,1.9896205432365033,212752.0,95.5952461189369,95,451.43002028397564,8.981744421906694,815
Slovenia,24419.0,253493.0,4372.0,1.7247024572670646,244646.0,96.50996279976172,96,514.184584178499,8.86815415821501,421
US:New Mexico,,202821.0,4263.0,2.1018533583800494,,,97,411.40162271805275,8.647058823529411,0
Lithuania,48776.0,273866.0,4245.0,1.550028115939912,254322.0,92.86366325137111,98,555.5091277890466,8.610547667342798,756
Uruguay,37675.0,288172.0,4176.0,1.449134544646947,246321.0,85.47707619060839,99,584.5273833671399,8.470588235294118,545
Ethiopia,59781.0,271200.0,4143.0,1.5276548672566372,236774.0,87.30604719764011,100,550.1014198782962,8.403651115618661,913
Costa Rica,71703.0,314102.0,3962.0,1.2613736938956135,242019.0,77.05108531623486,101,637.1237322515213,8.036511156186613,904
Dominican Republic,54304.0,290526.0,3628.0,1.2487694733001522,238810.0,82.1991835498372,102,589.3022312373225,7.359026369168357,678
West Bank and Gaza,33275.0,307838.0,3492.0,1.1343628791767097,300524.0,97.62407500048727,103,624.4178498985801,7.0831643002028395,377
Algeria,35577.0,128456.0,3460.0,2.6935293018621165,89419.0,69.61060596624526,104,260.55983772819474,7.0182555780933065,958
Kazakhstan,46234.0,438715.0,3442.0,0.7845640108042806,402272.0,91.69324048642056,105,889.8884381338743,6.9817444219066935,362
Burma,19859.0,143526.0,3216.0,2.2407090004598467,132297.0,92.17633042096902,106,291.12778904665316,6.523326572008114,444
Kenya,51211.0,170485.0,3141.0,1.8423908261723905,116133.0,68.11918937149896,107,345.8113590263692,6.371196754563894,943
Libya,28894.0,184815.0,3116.0,1.6860103346589834,171279.0,92.67591916240565,108,374.87829614604465,6.320486815415822,487
Afghanistan,20311.0,70111.0,2899.0,4.134871846072656,57281.0,81.70044643493888,109,142.2129817444219,5.880324543610548,839
Belarus,25477.0,392629.0,2831.0,0.7210369076150769,383380.0,97.64434109553802,110,796.4077079107506,5.742393509127789,183
US:West Virginia,,161287.0,2821.0,1.7490560305542295,,,111,327.15415821501017,5.72210953346856,0
US:Rhode Island,,151743.0,2708.0,1.7845963240478966,,,112,307.7951318458418,5.49290060851927,0
US:Oregon,,201005.0,2666.0,1.3263351657918956,,,113,407.7180527383367,5.407707910750507,0
Malaysia,76218.0,558534.0,2650.0,0.4744563446450888,479666.0,85.87946302284195,114,1132.9290060851927,5.37525354969574,361
Venezuela,17594.0,231443.0,2615.0,1.1298678292279307,213365.0,92.18900550027436,115,469.4584178498986,5.304259634888438,198
Sudan,12776.0,35289.0,2600.0,7.367734988239961,27949.0,79.20031737935334,116,71.58012170385396,5.273833671399594,941
Denmark,43365.0,279434.0,2516.0,0.9003915056864948,263618.0,94.3399872599612,117,566.8032454361055,5.103448275862069,390
